index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
87,1082788554399498241,2019-01-08 23:58:03+00:00,Raw Vegan Nachos https://t.co/cBntGaKqaa https://t.co/215pjON319,931923110693097472,2017-11-18T16:32:38.000Z,Video__Recipes,,20,,0,0,0.0
89,1082788535894183936,2019-01-08 23:57:58+00:00,"@campbellclaret Piers Morgan? That’s the bloke who invented vegan haggis, isn’t he?",620297304,2012-06-27T18:11:23.000Z,gehapeters,Hamburg,6464,"Hamburg, Deutschland",0,0,0.0
92,1082788523999195136,2019-01-08 23:57:56+00:00,How did I know you were a vegan? \n\nYOU TOLD ME SO\n\n......but as your waiter your preferences are important to this restaurant so if you have any allergic requests please let me know.,22210802,2009-02-28T00:28:15.000Z,matthewsurina,"Hamilton, Ontario",1092,,0,0,0.2263
99,1082788502087979008,2019-01-08 23:57:50+00:00,"en vrai jsuis « presque » vegan et ça me fait mal . Il est mort déjà , respecte le ???  c quoi ça https://t.co/XeibnFjXur",767104969887604741,2016-08-20T21:04:11.000Z,yeewos,"Grenoble, France",251,,0,0,0.0
101,1082788494278180864,2019-01-08 23:57:48+00:00,@HappyCow So many! Vegan ramen in Shinagawa Station was the best :),570919917,2012-05-04T13:37:30.000Z,NoToPaperTigers,London✈Kenya✈Singapore✈ London,537,,0,0,0.8172
102,1082788478444658688,2019-01-08 23:57:45+00:00,"Fried vegan buffalo cauliflower bites... if you know, you know.",236666259,2011-01-11T03:08:09.000Z,og_allly,,418,,0,0,0.0
105,1082788458710609920,2019-01-08 23:57:40+00:00,@photoman1936 @dizzidi67 Nowhere to be seen. How many vegan activists have been threatening Halal abattoir workers I wonder?,61317568,2009-07-29T22:50:02.000Z,SRSilvie,Cumbria,2313,,3,1,-0.5267
107,1082788450573713409,2019-01-08 23:57:38+00:00,The 30 Day Vegan Challenge is Coming Soon To Your Inbox! 4 years going strong!,1615301934,2013-07-23T13:55:47.000Z,gosmoothies,"Michigan, USA",479,,0,0,0.6351
109,1082788423142920192,2019-01-08 23:57:31+00:00,Looks like I won’t be getting vegan food tonight 🥴,51951786,2009-06-29T04:04:54.000Z,MlSANDRIIST,nyc - she/her,5873,,0,0,0.3612
120,1082788342868164609,2019-01-08 23:57:12+00:00,"Another snack vegan_in_wisconsin @soulspacefarm @ New Richmond, Wisconsin https://t.co/WR7MWX5UZW",26530456,2009-03-25T16:26:23.000Z,CloudClearFan1,"Minneapolis, MN",788,"New Richmond, WI",0,0,0.0
123,1082788312643973121,2019-01-08 23:57:05+00:00,The latest Daily Gluten Free Crumbs! https://t.co/DK2ZtCHfHK Thanks to @halelifetaylor #glutenfree #vegan,151854185,2010-06-04T12:19:10.000Z,TRCrumbley,"Virginia, USA",1434,,0,0,0.7574
125,1082788308546027523,2019-01-08 23:57:04+00:00,Vegan spinach pizza rolls made from scratch! I made the pizza dough from scratch using the recipe from the Miserly Mom cook book. The pizza rolls recipe I came across on my IG feed: https://t.co/ePMJWqGVEm\n\n#veganuary2019 #veganfood #pizza https://t.co/QpcjmlTRbA,899036413131317248,2017-08-19T22:32:38.000Z,herbivorebekah,"Colorado, USA",822,,4,0,-0.4003
126,1082788298744049664,2019-01-08 23:57:02+00:00,Costa Coffee Launches Almond Milk Due To Vegan Demand https://t.co/xfVnZV7fKj via @plantbasednews,739590883453108224,2016-06-05T22:53:02.000Z,Helenmaclean57,"Hurstpierpoint, England",38,,0,0,-0.128
128,1082788284194062336,2019-01-08 23:56:58+00:00,"@PaulJac21120884 @SamSykes95 @sainsburys As someone who is a vegan for an experiment, I’m glad they’re naming substitutes after the real deal so people know what food they’re trying to mimic. If every vegan substitute had a total new name you’d need a glossary 😂",604466305,2012-06-10T12:03:01.000Z,thoughtsofshaz,,1784,,0,0,0.4588
